,question,type,placeholders,naturalness,difficulty,dbpedia_entities,id,dbpedia_entities_re
10,How do you evaluate the impact of the Industrial Revolution on modern economic development globally? Please explain your viewpoint.,critical,"{'event': 'Industrial Revolution', 'field': 'modern economic development'}",high,medium,{'event': 'http://dbpedia.org/resource/Industrial_Revolution'},323,{'event': 'http://dbpedia.org/resource/Industrial_Revolution'}
11,How do you evaluate the impact of the internet on modern communication? Please explain your viewpoint.,critical,"{'event': 'internet', 'field': 'modern communication'}",high,medium,"{'event': 'http://dbpedia.org/resource/Internet', 'field': 'http://dbpedia.org/resource/Communication'}",564,"{'event': 'http://dbpedia.org/resource/Internet', 'field': 'http://dbpedia.org/resource/Communication'}"
12,How do you evaluate the impact of social media on modern communication? Please explain your viewpoint.,critical,"{'entity': 'social media', 'field': 'modern communication'}",high,medium,{'entity': 'http://dbpedia.org/resource/Social_media'},318,{'entity': 'http://dbpedia.org/resource/Social_media'}
13,How do you evaluate the impact of the Internet on global communication? Please explain your viewpoint.,critical,"{'event': 'the Internet', 'field': 'global communication'}",high,medium,"{'event': 'http://dbpedia.org/resource/Internet', 'field': 'http://dbpedia.org/resource/Communication'}",541,"{'event': 'http://dbpedia.org/resource/Internet', 'field': 'http://dbpedia.org/resource/Communication'}"
14,How do you evaluate the impact of the Industrial Revolution on modern technological advancements? Please explain your viewpoint.,critical,"{'person/event': 'Industrial Revolution', 'field': 'modern technological advancements'}",high,medium,"{'person/event': 'http://dbpedia.org/resource/Industrial_Revolution', 'field': 'http://dbpedia.org/resource/Technology'}",61,"{'person/event': 'http://dbpedia.org/resource/Industrial_Revolution', 'field': 'http://dbpedia.org/resource/Technology'}"
15,How do you evaluate the impact of social media on political communication? Please explain your viewpoint.,critical,"{'event': 'social media', 'field': 'political communication'}",high,medium,"{'event': 'http://dbpedia.org/resource/Social_media', 'field': 'http://dbpedia.org/resource/Political_communication'}",302,"{'event': 'http://dbpedia.org/resource/Social_media', 'field': 'http://dbpedia.org/resource/Political_communication'}"
16,How do you evaluate the impact of the internet on modern education systems? Please explain your viewpoint.,critical,"{'person/event': 'the internet', 'field': 'modern education systems'}",high,medium,"{'person/event': 'http://dbpedia.org/resource/Internet', 'field': 'http://dbpedia.org/resource/Education'}",718,"{'person/event': 'http://dbpedia.org/resource/Internet', 'field': 'http://dbpedia.org/resource/Education'}"
17,How do you evaluate the impact of the Industrial Revolution on modern technology? Please explain your viewpoint.,critical,"{'person/event': 'Industrial Revolution', 'field': 'modern technology'}",high,hard,"{'person/event': 'http://dbpedia.org/resource/Industrial_Revolution', 'field': 'http://dbpedia.org/resource/Technology'}",213,"{'person/event': 'http://dbpedia.org/resource/Industrial_Revolution', 'field': 'http://dbpedia.org/resource/Technology'}"
18,How do you evaluate the impact of the internet on modern education? Please explain your viewpoint.,critical,"{'person/event': 'the internet', 'field': 'modern education'}",high,medium,"{'person/event': 'http://dbpedia.org/resource/Internet', 'field': 'http://dbpedia.org/resource/Education'}",139,"{'person/event': 'http://dbpedia.org/resource/Internet', 'field': 'http://dbpedia.org/resource/Education'}"
19,How do you evaluate the impact of the Industrial Revolution on modern manufacturing practices? Please explain your viewpoint.,critical,"{'person/event': 'Industrial Revolution', 'field': 'modern manufacturing practices'}",high,hard,{'person/event': 'http://dbpedia.org/resource/Industrial_Revolution'},225,{'person/event': 'http://dbpedia.org/resource/Industrial_Revolution'}
20,Provide a detailed description of the background and course of the American Civil Rights Movement.,descriptive,{'event': 'American Civil Rights Movement'},high,medium,{'event': 'http://dbpedia.org/resource/American_Civil_Rights_Movement'},767,{'event': 'http://dbpedia.org/resource/American_Civil_Rights_Movement'}
21,Please describe Nelson Mandela’s contributions to the fight against apartheid.,descriptive,{'person': 'Nelson Mandela'},high,medium,{'person': 'http://dbpedia.org/resource/Nelson_Mandela'},444,{'person': 'http://dbpedia.org/resource/Nelson_Mandela'}
22,Please describe Cleopatra's significant contributions during her reign as the Queen of Egypt.,descriptive,{'person': 'Cleopatra'},high,medium,{'person': 'http://dbpedia.org/resource/Cleopatra'},565,{'person': 'http://dbpedia.org/resource/Cleopatra'}
23,Please describe Rosalind Franklin's contributions to the discovery of DNA's double helix structure.,descriptive,{'person': 'Rosalind Franklin'},high,medium,{'person': 'http://dbpedia.org/resource/Rosalind_Franklin'},534,{'person': 'http://dbpedia.org/resource/Rosalind_Franklin'}
24,Please describe Alan Turing’s contributions to the field of computer science.,descriptive,{'person': 'Alan Turing'},high,medium,{'person': 'http://dbpedia.org/resource/Alan_Turing'},395,{'person': 'http://dbpedia.org/resource/Alan_Turing'}
25,Please describe Ada Lovelace’s contributions to the field of computer science.,descriptive,"{'person': 'Ada Lovelace', 'field': 'computer science'}",high,medium,"{'person': 'http://dbpedia.org/resource/Ada_Lovelace', 'field': 'http://dbpedia.org/resource/Computer_science'}",155,"{'person': 'http://dbpedia.org/resource/Ada_Lovelace', 'field': 'http://dbpedia.org/resource/Computer_science'}"
26,Please describe Galileo Galilei’s contributions to the field of astronomy.,descriptive,"{'person': 'Galileo Galilei', 'field': 'astronomy'}",high,medium,"{'person': 'http://dbpedia.org/resource/Galileo_Galilei', 'field': 'http://dbpedia.org/resource/Astronomy'}",737,"{'person': 'http://dbpedia.org/resource/Galileo_Galilei', 'field': 'http://dbpedia.org/resource/Astronomy'}"
27,Please describe the cultural contributions of Leonardo da Vinci during the Renaissance.,descriptive,"{'person': 'Leonardo da Vinci', 'field': 'cultural contributions', 'time': 'Renaissance'}",high,medium,"{'person': 'http://dbpedia.org/resource/Leonardo_da_Vinci', 'field': 'http://dbpedia.org/resource/Culture', 'time': 'http://dbpedia.org/resource/Renaissance'}",132,"{'person': 'http://dbpedia.org/resource/Leonardo_da_Vinci', 'field': 'http://dbpedia.org/resource/Culture', 'time': 'http://dbpedia.org/resource/Renaissance'}"
28,Please describe Mary Shelley's contributions to the literary world.,descriptive,{'person': 'Mary Shelley'},high,medium,{'person': 'http://dbpedia.org/resource/Mary_Shelley'},414,{'person': 'http://dbpedia.org/resource/Mary_Shelley'}
29,Please describe Winston Churchill’s contributions to World War II.,descriptive,{'person': 'Winston Churchill'},high,medium,{'person': 'http://dbpedia.org/resource/Winston_Churchill'},542,{'person': 'http://dbpedia.org/resource/Winston_Churchill'}
30,Why did Abraham Lincoln decide to issue the Emancipation Proclamation in 1863?,explanatory,"{'person': 'Abraham Lincoln', 'action': 'issue the Emancipation Proclamation', 'time': '1863'}",high,medium,"{'person': 'http://dbpedia.org/resource/Abraham_Lincoln', 'action': 'http://dbpedia.org/resource/Emancipation_Proclamation'}",282,"{'person': 'http://dbpedia.org/resource/Abraham_Lincoln', 'action': 'http://dbpedia.org/resource/Emancipation_Proclamation'}"
31,Why did the Roman Empire fall in the 5th century?,explanatory,"{'person': 'Roman Empire', 'action': 'fall', 'time': '5th century'}",high,medium,"{'person': 'http://dbpedia.org/resource/Roman_Empire', 'time': 'http://dbpedia.org/resource/5th_century'}",267,"{'person': 'http://dbpedia.org/resource/Roman_Empire', 'time': 'http://dbpedia.org/resource/5th_century'}"
32,Why did the United States choose to enter World War I in 1917?,explanatory,"{'person': 'the United States', 'action': 'enter World War I', 'time': '1917'}",high,medium,"{'person': 'http://dbpedia.org/resource/United_States', 'action': 'http://dbpedia.org/resource/World_War_I', 'time': 'http://dbpedia.org/resource/1917'}",382,"{'person': 'http://dbpedia.org/resource/United_States', 'action': 'http://dbpedia.org/resource/World_War_I', 'time': 'http://dbpedia.org/resource/1917'}"
33,Why did Julius Caesar choose to cross the Rubicon in 49 BC?,explanatory,"{'person': 'Julius Caesar', 'action': 'cross the Rubicon', 'time': '49 BC'}",high,medium,"{'person': 'http://dbpedia.org/resource/Julius_Caesar', 'action': 'http://dbpedia.org/resource/Crossing_the_Rubicon', 'time': 'http://dbpedia.org/resource/49_BC'}",55,"{'person': 'http://dbpedia.org/resource/Julius_Caesar', 'action': 'http://dbpedia.org/resource/Crossing_the_Rubicon', 'time': 'http://dbpedia.org/resource/49_BC'}"
34,Explain the relationship between the Roman Republic and the Roman Empire and its significance.,explanatory,"{'entity A': 'Roman Republic', 'entity B': 'Roman Empire'}",high,hard,"{'entity A': 'http://dbpedia.org/resource/Roman_Republic', 'entity B': 'http://dbpedia.org/resource/Roman_Empire'}",716,"{'entity A': 'http://dbpedia.org/resource/Roman_Republic', 'entity B': 'http://dbpedia.org/resource/Roman_Empire'}"
35,Why did Nelson Mandela choose to advocate for reconciliation after his release from prison?,explanatory,"{'person': 'Nelson Mandela', 'action': 'advocate for reconciliation', 'time': 'after his release from prison'}",high,medium,"{'person': 'http://dbpedia.org/resource/Nelson_Mandela', 'time': 'http://dbpedia.org/resource/Nelson_Mandela#Political_prisoner'}",768,"{'person': 'http://dbpedia.org/resource/Nelson_Mandela', 'time': 'http://dbpedia.org/resource/Nelson_Mandela#Political_prisoner'}"
36,Why did Mahatma Gandhi choose to initiate the Salt March in 1930?,explanatory,"{'person': 'Mahatma Gandhi', 'action': 'initiate the Salt March', 'time': '1930'}",high,medium,"{'person': 'http://dbpedia.org/resource/Mahatma_Gandhi', 'action': 'http://dbpedia.org/resource/Salt_March', 'time': 'http://dbpedia.org/resource/1930'}",163,"{'person': 'http://dbpedia.org/resource/Mahatma_Gandhi', 'action': 'http://dbpedia.org/resource/Salt_March', 'time': 'http://dbpedia.org/resource/1930'}"
37,Why did Mahatma Gandhi adopt nonviolent resistance strategies during India's fight for independence?,explanatory,"{'person': 'Mahatma Gandhi', 'action': 'adopt nonviolent resistance strategies', 'time': ""India's fight for independence""}",high,medium,"{'person': 'http://dbpedia.org/resource/Mahatma_Gandhi', 'time': 'http://dbpedia.org/resource/Indian_independence_movement'}",432,"{'person': 'http://dbpedia.org/resource/Mahatma_Gandhi', 'time': 'http://dbpedia.org/resource/Indian_independence_movement'}"
38,Why did Mahatma Gandhi choose to employ non-violent resistance during the Indian independence movement?,explanatory,"{'person': 'Mahatma Gandhi', 'action': 'employ non-violent resistance', 'time': 'Indian independence movement'}",high,medium,"{'person': 'http://dbpedia.org/resource/Mahatma_Gandhi', 'action': 'http://dbpedia.org/resource/Nonviolence', 'time': 'http://dbpedia.org/resource/Indian_independence_movement'}",324,"{'person': 'http://dbpedia.org/resource/Mahatma_Gandhi', 'action': 'http://dbpedia.org/resource/Nonviolence', 'time': 'http://dbpedia.org/resource/Indian_independence_movement'}"
39,Why did Winston Churchill make the decision to lead Britain through World War II despite the significant risks involved?,explanatory,"{'person': 'Winston Churchill', 'action': 'lead Britain through World War II', 'time': 'during World War II'}",high,medium,"{'person': 'http://dbpedia.org/resource/Winston_Churchill', 'event': 'http://dbpedia.org/resource/World_War_II'}",655,"{'person': 'http://dbpedia.org/resource/Winston_Churchill', 'event': 'http://dbpedia.org/resource/World_War_II'}"
40,"Based on the historical behavior of NASA, what do you think it might do in the field of space exploration in the future?",predictive,{'entity': 'NASA'},high,medium,{'entity': 'http://dbpedia.org/resource/NASA'},68,{'entity': 'http://dbpedia.org/resource/NASA'}
41,"Based on recent technological trends, how do you predict quantum computing will develop in the next decade?",predictive,{'event': 'quantum computing'},high,hard,{'event': 'http://dbpedia.org/resource/Quantum_computing'},616,{'event': 'http://dbpedia.org/resource/Quantum_computing'}
42,"Based on the current trends, how do you predict the renewable energy market will develop over the next decade?",predictive,{'event': 'renewable energy market'},high,medium,{'event': 'http://dbpedia.org/resource/Renewable_energy'},391,{'event': 'http://dbpedia.org/resource/Renewable_energy'}
43,"Based on the current trends in technology, how do you predict the development of artificial intelligence in the next decade?",predictive,"{'entity': 'technology', 'event': 'development of artificial intelligence'}",high,hard,"{'entity': 'http://dbpedia.org/resource/Technology', 'event': 'http://dbpedia.org/resource/Artificial_intelligence'}",261,"{'entity': 'http://dbpedia.org/resource/Technology', 'event': 'http://dbpedia.org/resource/Artificial_intelligence'}"
44,"Based on the current advancements in renewable energy technology, how do you predict the energy market will evolve in the next decade?",predictive,"{'current advancements': 'renewable energy technology', 'future event': 'energy market evolution', 'time frame': 'next decade'}",high,medium,{'current advancements': 'http://dbpedia.org/resource/Renewable_energy'},663,{'current advancements': 'http://dbpedia.org/resource/Renewable_energy'}
45,"Based on the current trends, how do you predict renewable energy adoption will develop in the next decade?",predictive,{'event': 'renewable energy adoption'},high,medium,{'event': 'http://dbpedia.org/resource/Renewable_energy'},140,{'event': 'http://dbpedia.org/resource/Renewable_energy'}
46,"Based on current scientific advancements, how do you predict the future of renewable energy development?",predictive,"{'current situation': 'current scientific advancements', 'event': 'renewable energy development'}",high,medium,{'event': 'http://dbpedia.org/resource/Renewable_energy'},98,{'event': 'http://dbpedia.org/resource/Renewable_energy'}
47,"Based on the current geopolitical climate, how do you predict international trade policies will develop?",predictive,{'event': 'international trade policies'},high,hard,{'event': 'http://dbpedia.org/resource/International_trade'},201,{'event': 'http://dbpedia.org/resource/International_trade'}
48,"Based on the current economic situation, how do you predict the stock market will develop?",predictive,{'event': 'the stock market'},high,hard,{'event': 'http://dbpedia.org/resource/Stock_market'},573,{'event': 'http://dbpedia.org/resource/Stock_market'}
49,"Based on the current economic indicators, how do you predict the global economy will develop in the next decade?",predictive,{'event': 'global economy'},high,hard,{'event': 'http://dbpedia.org/resource/World_economy'},682,{'event': 'http://dbpedia.org/resource/World_economy'}
