,question,type,placeholders,naturalness,difficulty,dbpedia_entities
30,Please describe Leonardo da Vinci's contributions to art and science.,descriptive,"{'person': 'Leonardo da Vinci', 'field': 'art and science'}",high,medium,{'person': 'http://dbpedia.org/resource/Leonardo_da_Vinci'}
31,Why did the Wright brothers choose Kitty Hawk for their historic flight in 1903?,explanatory,"{'person': 'Wright brothers', 'action': 'choose Kitty Hawk for their historic flight', 'time': '1903'}",high,medium,"{'person': 'http://dbpedia.org/resource/Wright_brothers', 'action': 'http://dbpedia.org/resource/Wright_Flyer'}"
32,"Based on Amazon's historical expansion strategy, which markets do you think it might enter in the future?",predictive,{'entity': 'Amazon'},high,medium,{'entity': 'http://dbpedia.org/resource/Amazon.com'}
33,Compare and contrast the political impacts of the American Revolution and the French Revolution.,comparative,"{'historical event A': 'American Revolution', 'historical event B': 'French Revolution', 'aspect': 'political impacts'}",high,medium,"{'historical event A': 'http://dbpedia.org/resource/American_Revolution', 'historical event B': 'http://dbpedia.org/resource/French_Revolution'}"
34,How do you evaluate the impact of the Industrial Revolution on modern economics? Please explain your viewpoint.,critical,"{'event': 'Industrial Revolution', 'field': 'modern economics'}",high,hard,{'event': 'http://dbpedia.org/resource/Industrial_Revolution'}
35,Describe Marie Curie's significant contributions during her career.,descriptive,{'person': 'Marie Curie'},high,medium,{'person': 'http://dbpedia.org/resource/Marie_Curie'}
36,Why did Nelson Mandela choose to end racial segregation policies in South Africa?,explanatory,"{'person': 'Nelson Mandela', 'action': 'end racial segregation policies', 'time': 'during his presidency'}",high,medium,{'person': 'http://dbpedia.org/resource/Nelson_Mandela'}
37,"Based on the historical behavior of SpaceX, what do you think it might do in the future?",predictive,{'entity': 'SpaceX'},high,medium,{'entity': 'http://dbpedia.org/resource/SpaceX'}
38,Compare and contrast the similarities and differences between the Roman Empire and the Byzantine Empire in terms of political structure.,comparative,"{'entity A': 'Roman Empire', 'entity B': 'Byzantine Empire', 'aspect': 'political structure'}",high,hard,"{'entity A': 'http://dbpedia.org/resource/Roman_Empire', 'entity B': 'http://dbpedia.org/resource/Byzantine_Empire'}"
39,How do you evaluate the impact of the Industrial Revolution on modern economies? Please explain your viewpoint.,critical,"{'person/event': 'Industrial Revolution', 'field': 'modern economies'}",high,medium,{'person/event': 'http://dbpedia.org/resource/Industrial_Revolution'}
40,Please describe Marie Curie's contributions to the field of chemistry.,descriptive,{'person': 'Marie Curie'},high,medium,{'person': 'http://dbpedia.org/resource/Marie_Curie'}
41,Explain the relationship between the Roman Empire and the Byzantine Empire and its significance.,explanatory,"{'entity A': 'Roman Empire', 'entity B': 'Byzantine Empire'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/Roman_Empire', 'entity B': 'http://dbpedia.org/resource/Byzantine_Empire'}"
42,"Based on Amazon’s historical behavior, in which fields do you think it might innovate in the future?",predictive,{'entity': 'Amazon'},high,medium,{'entity': 'http://dbpedia.org/resource/Amazon_(company)'}
43,Compare and contrast the economic policies of Ronald Reagan and Margaret Thatcher.,comparative,"{'entity A': 'Ronald Reagan', 'entity B': 'Margaret Thatcher', 'aspect': 'economic policies'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/Ronald_Reagan', 'entity B': 'http://dbpedia.org/resource/Margaret_Thatcher'}"
44,How do you evaluate the impact of the COVID-19 pandemic on global healthcare systems? Please explain your viewpoint.,critical,"{'event': 'COVID-19 pandemic', 'field': 'global healthcare systems'}",high,hard,{'event': 'http://dbpedia.org/resource/COVID-19_pandemic'}
45,Describe Marie Curie’s significant contributions during her career.,descriptive,{'person': 'Marie Curie'},high,medium,{'person': 'http://dbpedia.org/resource/Marie_Curie'}
46,Explain the relationship between the United Nations and the concept of international peacekeeping and its significance.,explanatory,"{'entity A': 'United Nations', 'entity B': 'international peacekeeping'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/United_Nations', 'entity B': 'http://dbpedia.org/resource/Peacekeeping'}"
47,"Based on Amazon’s historical behavior, in which fields do you think it might innovate in the future?",predictive,{'entity': 'Amazon'},high,medium,{'entity': 'http://dbpedia.org/resource/Amazon_(company)'}
48,Compare and contrast the similarities and differences between traditional books and e-books in terms of accessibility.,comparative,"{'entity A': 'traditional books', 'entity B': 'e-books', 'aspect': 'accessibility'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/Book', 'entity B': 'http://dbpedia.org/resource/E-book'}"
49,How do you evaluate the impact of social media on modern communication? Please explain your viewpoint.,critical,"{'event': 'social media', 'field': 'modern communication'}",high,medium,"{'event': 'http://dbpedia.org/resource/Social_media', 'field': 'http://dbpedia.org/resource/Communication'}"
50,Please describe Marie Curie’s significant contributions to the field of science.,descriptive,{'person': 'Marie Curie'},high,medium,{'person': 'http://dbpedia.org/resource/Marie_Curie'}
51,Why did Mahatma Gandhi embark on the Salt March in 1930?,explanatory,"{'person': 'Mahatma Gandhi', 'action': 'embark on the Salt March', 'time': '1930'}",high,medium,"{'person': 'http://dbpedia.org/resource/Mahatma_Gandhi', 'action': 'http://dbpedia.org/resource/Salt_March'}"
52,"Based on the current economic trends, how do you predict the technology industry will evolve in the next decade?",predictive,"{'current situation': 'economic trends', 'event': 'technology industry'}",high,medium,{'event': 'http://dbpedia.org/resource/Technology_industry'}
53,Compare and contrast the similarities and differences between Shakespeare's 'Hamlet' and 'Macbeth' in terms of their main characters' motivations.,comparative,"{'entity A': ""Shakespeare's 'Hamlet'"", 'entity B': ""Shakespeare's 'Macbeth'"", 'aspect': ""main characters' motivations""}",high,medium,"{'entity A': 'http://dbpedia.org/resource/Hamlet', 'entity B': 'http://dbpedia.org/resource/Macbeth'}"
54,How do you evaluate the impact of the Industrial Revolution on modern economic practices? Please explain your viewpoint.,critical,"{'person/event': 'Industrial Revolution', 'field': 'modern economic practices'}",high,medium,{'person/event': 'http://dbpedia.org/resource/Industrial_Revolution'}
55,Please describe Leonardo da Vinci's contributions to the fields of art and science.,descriptive,{'person': 'Leonardo da Vinci'},high,medium,{'person': 'http://dbpedia.org/resource/Leonardo_da_Vinci'}
56,Why did Susan B. Anthony take a leading role in the women's suffrage movement during the late 19th century?,explanatory,"{'person': 'Susan B. Anthony', 'action': ""take a leading role in the women's suffrage movement"", 'time': 'late 19th century'}",high,medium,{'person': 'http://dbpedia.org/resource/Susan_B._Anthony'}
57,"Based on the historical behavior of Apple Inc., what new markets do you think it might enter in the future?",predictive,{'entity': 'Apple Inc.'},high,medium,{'entity': 'http://dbpedia.org/resource/Apple_Inc.'}
58,Compare and contrast the economic policies of Ronald Reagan and Franklin D. Roosevelt.,comparative,"{'entity A': 'Ronald Reagan', 'entity B': 'Franklin D. Roosevelt'}",high,hard,"{'entity A': 'http://dbpedia.org/resource/Ronald_Reagan', 'entity B': 'http://dbpedia.org/resource/Franklin_D._Roosevelt'}"
59,How do you evaluate the impact of the Industrial Revolution on modern economic systems? Please explain your viewpoint.,critical,"{'person/event': 'Industrial Revolution', 'field': 'modern economic systems'}",high,hard,{'person/event': 'http://dbpedia.org/resource/Industrial_Revolution'}
60,Please describe Marie Curie’s contributions to the field of radioactivity.,descriptive,{'person': 'Marie Curie'},high,medium,{'person': 'http://dbpedia.org/resource/Marie_Curie'}
61,Why did Mahatma Gandhi lead the Salt March in 1930?,explanatory,"{'person': 'Mahatma Gandhi', 'action': 'lead the Salt March', 'time': '1930'}",high,medium,"{'person': 'http://dbpedia.org/resource/Mahatma_Gandhi', 'action': 'http://dbpedia.org/resource/Salt_March', 'time': 'http://dbpedia.org/resource/1930'}"
62,"Based on Disney’s historical behavior, in which areas do you think it might expand its business in the future?",predictive,{'entity': 'Disney'},high,medium,{'entity': 'http://dbpedia.org/resource/The_Walt_Disney_Company'}
63,Compare and contrast the political philosophies of John Locke and Thomas Hobbes in terms of social contract theory.,comparative,"{'entity A': 'John Locke', 'entity B': 'Thomas Hobbes', 'aspect': 'social contract theory'}",high,hard,"{'entity A': 'http://dbpedia.org/resource/John_Locke', 'entity B': 'http://dbpedia.org/resource/Thomas_Hobbes', 'aspect': 'http://dbpedia.org/resource/Social_contract'}"
64,How do you evaluate the impact of the Internet on the global communication landscape? Please explain your viewpoint.,critical,"{'person/event': 'the Internet', 'field': 'global communication landscape'}",high,medium,{'person/event': 'http://dbpedia.org/resource/Internet'}
65,Describe Marie Curie's significant contributions during her career.,descriptive,{'person': 'Marie Curie'},high,medium,{'person': 'http://dbpedia.org/resource/Marie_Curie'}
66,Explain the relationship between Nikola Tesla and Thomas Edison and its significance.,explanatory,"{'entity A': 'Nikola Tesla', 'entity B': 'Thomas Edison'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/Nikola_Tesla', 'entity B': 'http://dbpedia.org/resource/Thomas_Edison'}"
67,"Based on the current situation, how do you predict the development of renewable energy technologies?",predictive,{'event': 'development of renewable energy technologies'},high,medium,{'event': 'http://dbpedia.org/resource/Renewable_energy'}
68,Compare and contrast the similarities and differences between the New Deal and the Great Society in terms of social programs.,comparative,"{'entity A': 'New Deal', 'entity B': 'Great Society', 'aspect': 'social programs'}",high,hard,"{'entity A': 'http://dbpedia.org/resource/New_Deal', 'entity B': 'http://dbpedia.org/resource/Great_Society'}"
69,How do you evaluate the impact of the internet on modern education? Please explain your viewpoint.,critical,"{'event': 'the internet', 'field': 'modern education'}",high,medium,"{'event': 'http://dbpedia.org/resource/Internet', 'field': 'http://dbpedia.org/resource/Education'}"
70,Describe Isaac Newton's significant contributions during his career.,descriptive,{'person': 'Isaac Newton'},high,medium,{'person': 'http://dbpedia.org/resource/Isaac_Newton'}
71,Why did Julius Caesar choose to cross the Rubicon in 49 BC?,explanatory,"{'person': 'Julius Caesar', 'action': 'cross the Rubicon', 'time': '49 BC'}",high,medium,"{'person': 'http://dbpedia.org/resource/Julius_Caesar', 'action': 'http://dbpedia.org/resource/Crossing_the_Rubicon', 'time': 'http://dbpedia.org/resource/49_BC'}"
72,"Based on current technological advancements, how do you predict the future of artificial intelligence will unfold?",predictive,{'entity': 'artificial intelligence'},high,hard,{'entity': 'http://dbpedia.org/resource/Artificial_intelligence'}
73,Compare and contrast the economic policies of Ronald Reagan and Franklin D. Roosevelt.,comparative,"{'entity A': 'Ronald Reagan', 'entity B': 'Franklin D. Roosevelt', 'aspect': 'economic policies'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/Ronald_Reagan', 'entity B': 'http://dbpedia.org/resource/Franklin_D._Roosevelt'}"
74,How do you evaluate the impact of the Industrial Revolution on modern urbanization? Please explain your viewpoint.,critical,"{'person/event': 'Industrial Revolution', 'field': 'modern urbanization'}",high,hard,"{'person/event': 'http://dbpedia.org/resource/Industrial_Revolution', 'field': 'http://dbpedia.org/resource/Urbanization'}"
75,Explain the relationship between the United Nations and the World Health Organization and its significance.,explanatory,"{'entity A': 'United Nations', 'entity B': 'World Health Organization'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/United_Nations', 'entity B': 'http://dbpedia.org/resource/World_Health_Organization'}"
76,Please describe Marie Curie's contributions to the field of chemistry.,descriptive,{'person': 'Marie Curie'},high,medium,{'person': 'http://dbpedia.org/resource/Marie_Curie'}
77,"Based on the current political landscape, how do you predict future trends in international trade policies will develop?",predictive,{'event': 'future trends in international trade policies'},high,hard,{'event': 'http://dbpedia.org/resource/Global_Trade'}
78,Compare and contrast the economic impact of the Great Depression and the 2008 financial crisis.,comparative,"{'historical event A': 'Great Depression', 'historical event B': '2008 financial crisis', 'aspect': 'economic impact'}",high,medium,"{'historical event A': 'http://dbpedia.org/resource/Great_Depression', 'historical event B': 'http://dbpedia.org/resource/Financial_crisis_of_2007–2008'}"
79,How do you evaluate the impact of the Industrial Revolution on modern technological advancements? Please explain your viewpoint.,critical,"{'person/event': 'Industrial Revolution', 'field': 'modern technological advancements'}",high,medium,"{'person/event': 'http://dbpedia.org/resource/Industrial_Revolution', 'field': 'http://dbpedia.org/resource/Technology'}"
80,Please describe Nikola Tesla’s contributions to the field of electrical engineering.,descriptive,{'person': 'Nikola Tesla'},high,medium,{'person': 'http://dbpedia.org/resource/Nikola_Tesla'}
81,Why did Mahatma Gandhi choose to initiate the Salt March in 1930?,explanatory,"{'person': 'Mahatma Gandhi', 'action': 'initiate the Salt March', 'time': '1930'}",high,hard,"{'person': 'http://dbpedia.org/resource/Mahatma_Gandhi', 'action': 'http://dbpedia.org/resource/Salt_March'}"
82,"Based on the rapid advancements in artificial intelligence, how do you predict the job market will change in the next decade?",predictive,"{'entity': 'artificial intelligence', 'event': 'job market'}",high,hard,"{'entity': 'http://dbpedia.org/resource/Artificial_intelligence', 'event': 'http://dbpedia.org/resource/Employment'}"
83,Compare and contrast the environmental impacts of wind energy and solar energy.,comparative,"{'entity A': 'wind energy', 'entity B': 'solar energy', 'aspect': 'environmental impacts'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/Wind_energy', 'entity B': 'http://dbpedia.org/resource/Solar_energy'}"
84,How do you evaluate the impact of social media on contemporary communication? Please explain your viewpoint.,critical,"{'person/event': 'social media', 'field': 'contemporary communication'}",high,medium,"{'person/event': 'http://dbpedia.org/resource/Social_media', 'field': 'http://dbpedia.org/resource/Communication'}"
85,Please describe the significant contributions of Marie Curie to the field of science.,descriptive,{'person': 'Marie Curie'},high,medium,{'person': 'http://dbpedia.org/resource/Marie_Curie'}
86,Why did Mahatma Gandhi choose to start the Salt March in 1930?,explanatory,"{'person': 'Mahatma Gandhi', 'action': 'start the Salt March', 'time': '1930'}",high,medium,"{'person': 'http://dbpedia.org/resource/Mahatma_Gandhi', 'action': 'http://dbpedia.org/resource/Salt_March', 'time': 'http://dbpedia.org/resource/1930'}"
87,"Based on the historical behavior of NASA, what do you think it might do in the field of space exploration in the future?",predictive,{'entity': 'NASA'},high,medium,{'entity': 'http://dbpedia.org/resource/NASA'}
88,Compare the impact of the Industrial Revolution and the Information Age on global economic structures.,comparative,"{'historical event A': 'Industrial Revolution', 'historical event B': 'Information Age'}",high,hard,"{'historical event A': 'http://dbpedia.org/resource/Industrial_Revolution', 'historical event B': 'http://dbpedia.org/resource/Information_Age'}"
89,How do you evaluate the impact of the theory of relativity on modern physics? Please explain your viewpoint.,critical,"{'person/event': 'the theory of relativity', 'field': 'modern physics'}",high,hard,"{'person/event': 'http://dbpedia.org/resource/Theory_of_relativity', 'field': 'http://dbpedia.org/resource/Physics'}"
90,Please describe Nikola Tesla’s contributions to the field of electrical engineering.,descriptive,{'person': 'Nikola Tesla'},high,medium,{'person': 'http://dbpedia.org/resource/Nikola_Tesla'}
91,Explain the relationship between the American Civil War and the abolition of slavery and its significance.,explanatory,"{'entity A': 'American Civil War', 'entity B': 'abolition of slavery'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/American_Civil_War', 'entity B': 'http://dbpedia.org/resource/Abolition_of_slavery'}"
92,"Based on the current technological advancements, how do you predict artificial intelligence will impact the job market?",predictive,{'event': 'impact of artificial intelligence on the job market'},high,medium,{'event': 'http://dbpedia.org/resource/Artificial_intelligence'}
93,Compare and contrast the similarities and differences between Linux and Windows operating systems in terms of security features.,comparative,"{'entity A': 'Linux', 'entity B': 'Windows', 'aspect': 'security features'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/Linux', 'entity B': 'http://dbpedia.org/resource/Microsoft_Windows'}"
94,How do you evaluate the impact of the Internet on the education system? Please explain your viewpoint.,critical,"{'person/event': 'the Internet', 'field': 'education system'}",high,medium,"{'person/event': 'http://dbpedia.org/resource/Internet', 'field': 'http://dbpedia.org/resource/Education'}"
95,Describe Leonardo da Vinci's significant contributions during his career.,descriptive,{'person': 'Leonardo da Vinci'},high,medium,{'person': 'http://dbpedia.org/resource/Leonardo_da_Vinci'}
96,Why did Nelson Mandela choose to pursue a path of reconciliation after his release from prison?,explanatory,"{'person': 'Nelson Mandela', 'action': 'pursue a path of reconciliation', 'time': 'after his release from prison'}",high,medium,{'person': 'http://dbpedia.org/resource/Nelson_Mandela'}
97,"Based on the current technological trends, how do you predict the development of artificial intelligence will impact job markets?",predictive,{'event': 'the development of artificial intelligence'},high,medium,{'event': 'http://dbpedia.org/resource/Artificial_intelligence'}
98,Compare and contrast the economic policies of Franklin D. Roosevelt and Ronald Reagan.,comparative,"{'entity A': 'Franklin D. Roosevelt', 'entity B': 'Ronald Reagan', 'aspect': 'economic policies'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/Franklin_D._Roosevelt', 'entity B': 'http://dbpedia.org/resource/Ronald_Reagan'}"
99,How do you evaluate the impact of the Industrial Revolution on modern manufacturing processes? Please explain your viewpoint.,critical,"{'event': 'the Industrial Revolution', 'field': 'modern manufacturing processes'}",high,medium,{'event': 'http://dbpedia.org/resource/Industrial_Revolution'}
100,Please describe Marie Curie's significant contributions to the field of radioactivity.,descriptive,{'person': 'Marie Curie'},high,medium,{'person': 'http://dbpedia.org/resource/Marie_Curie'}
101,Why did the United States decide to enter World War II in 1941?,explanatory,"{'entity': 'United States', 'event': 'World War II', 'time': '1941'}",high,medium,"{'entity': 'http://dbpedia.org/resource/United_States', 'event': 'http://dbpedia.org/resource/World_War_II'}"
102,"Based on the current technological advancements, how do you predict artificial intelligence will develop in the next decade?",predictive,"{'event': 'technological advancements', 'time': 'next decade'}",high,medium,"{'event': 'http://dbpedia.org/resource/Artificial_intelligence', 'time': 'http://dbpedia.org/resource/Decade'}"
103,Compare the impact of the Renaissance and the Enlightenment on modern Western thought.,comparative,"{'event A': 'Renaissance', 'event B': 'Enlightenment', 'aspect': 'modern Western thought'}",high,medium,"{'event A': 'http://dbpedia.org/resource/Renaissance', 'event B': 'http://dbpedia.org/resource/Age_of_Enlightenment'}"
104,How do you evaluate the impact of digital media on traditional journalism? Please explain your viewpoint.,critical,"{'entity': 'digital media', 'field': 'traditional journalism'}",high,medium,"{'entity': 'http://dbpedia.org/resource/Digital_media', 'field': 'http://dbpedia.org/resource/Journalism'}"
105,Please describe Marie Curie's contributions to the field of science.,descriptive,{'person': 'Marie Curie'},high,medium,{'person': 'http://dbpedia.org/resource/Marie_Curie'}
106,Why did the U.S. government decide to implement the New Deal in the 1930s?,explanatory,"{'person': 'U.S. government', 'action': 'implement the New Deal', 'time': 'the 1930s'}",high,medium,"{'person': 'http://dbpedia.org/resource/U.S._federal_government', 'action': 'http://dbpedia.org/resource/New_Deal'}"
107,"Based on the current advancements in technology, how do you predict the rise of Artificial Intelligence will affect job markets?",predictive,"{'entity': 'technology', 'event': 'rise of Artificial Intelligence'}",high,hard,"{'entity': 'http://dbpedia.org/resource/Technology', 'event': 'http://dbpedia.org/resource/Artificial_intelligence'}"
108,Compare and contrast the economic policies of Ronald Reagan and Franklin D. Roosevelt.,comparative,"{'entity A': 'Ronald Reagan', 'entity B': 'Franklin D. Roosevelt', 'aspect': 'economic policies'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/Ronald_Reagan', 'entity B': 'http://dbpedia.org/resource/Franklin_D._Roosevelt'}"
109,How do you evaluate the impact of social media on modern political campaigns? Please explain your viewpoint.,critical,"{'person/event': 'social media', 'field': 'modern political campaigns'}",high,medium,"{'person/event': 'http://dbpedia.org/resource/Social_media', 'field': 'http://dbpedia.org/resource/Election_campaign'}"
110,Please describe Nikola Tesla’s contributions to the development of electrical engineering.,descriptive,{'person': 'Nikola Tesla'},high,medium,{'person': 'http://dbpedia.org/resource/Nikola_Tesla'}
111,Why did Queen Elizabeth I choose to never marry during her reign?,explanatory,"{'person': 'Queen Elizabeth I', 'action': 'never marry', 'time': 'her reign'}",high,medium,{'person': 'http://dbpedia.org/resource/Elizabeth_I_of_England'}
112,"Based on SpaceX’s historical behavior, in which fields do you think it might innovate in the future?",predictive,{'entity': 'SpaceX'},high,medium,{'entity': 'http://dbpedia.org/resource/SpaceX'}
113,Compare and contrast the leadership styles of Winston Churchill and Franklin D. Roosevelt.,comparative,"{'entity A': 'Winston Churchill', 'entity B': 'Franklin D. Roosevelt', 'aspect': 'leadership styles'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/Winston_Churchill', 'entity B': 'http://dbpedia.org/resource/Franklin_D._Roosevelt'}"
114,How do you evaluate the impact of the Industrial Revolution on modern economic systems? Please explain your viewpoint.,critical,"{'event': 'Industrial Revolution', 'field': 'modern economic systems'}",high,hard,{'event': 'http://dbpedia.org/resource/Industrial_Revolution'}
