,question,type,placeholders,naturalness,difficulty,dbpedia_entities,id,dbpedia_entities_re
10,Why did Mahatma Gandhi embark on the Salt March in 1930?,explanatory,"{'person': 'Mahatma Gandhi', 'action': 'embark on the Salt March', 'time': '1930'}",high,medium,"{'person': 'http://dbpedia.org/resource/Mahatma_Gandhi', 'action': 'http://dbpedia.org/resource/Salt_March'}",10,"{'person': 'Mahatma_Gandhi', 'action': 'Salt_March'}"
11,"Based on the current economic trends, how do you predict the global job market will evolve?",predictive,{'event': 'global job market'},high,medium,{'event': 'http://dbpedia.org/resource/Job_market'},11,{'event': 'Job_market'}
12,How do you evaluate the impact of social media on modern political movements? Please explain your viewpoint.,critical,"{'person/event': 'social media', 'field': 'modern political movements'}",high,medium,"{'person/event': 'http://dbpedia.org/resource/Social_media', 'field': 'http://dbpedia.org/resource/Political_movement'}",12,"{'person/event': 'Social_media', 'field': 'Political_movement'}"
13,Provide a detailed description of the background and course of the American Civil War.,descriptive,{'event': 'American Civil War'},high,medium,{'event': 'http://dbpedia.org/resource/American_Civil_War'},13,{'event': 'American_Civil_War'}
14,Why did Alan Turing take the action of breaking the Enigma code during World War II?,explanatory,"{'person': 'Alan Turing', 'action': 'breaking the Enigma code', 'time': 'World War II'}",high,medium,"{'person': 'http://dbpedia.org/resource/Alan_Turing', 'time': 'http://dbpedia.org/resource/World_War_II'}",14,"{'person': 'Alan_Turing', 'time': 'World_War_II'}"
15,"Based on the current situation, how do you predict the development of blockchain technology will unfold?",predictive,{'event': 'development of blockchain technology'},high,hard,{'event': 'http://dbpedia.org/resource/Blockchain'},15,{'event': 'Blockchain'}
16,Compare and contrast the educational philosophies of Maria Montessori and John Dewey in terms of their approach to student-centered learning.,comparative,"{'entity A': 'Maria Montessori', 'entity B': 'John Dewey', 'aspect': 'student-centered learning'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/Maria_Montessori', 'entity B': 'http://dbpedia.org/resource/John_Dewey'}",16,"{'entity A': 'Maria_Montessori', 'entity B': 'John_Dewey'}"
17,How do you evaluate the impact of Sigmund Freud’s theories on modern psychology? Please explain your viewpoint.,critical,"{'person/event': 'Sigmund Freud’s theories', 'field': 'modern psychology'}",high,hard,"{'person/event': 'http://dbpedia.org/resource/Sigmund_Freud', 'field': 'http://dbpedia.org/resource/Psychology'}",17,"{'person/event': 'Sigmund_Freud', 'field': 'Psychology'}"
18,Explain the relationship between the Industrial Revolution and urbanization and its significance.,explanatory,"{'entity A': 'Industrial Revolution', 'entity B': 'urbanization'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/Industrial_Revolution', 'entity B': 'http://dbpedia.org/resource/Urbanization'}",18,"{'entity A': 'Industrial_Revolution', 'entity B': 'Urbanization'}"
19,"Based on the current state of artificial intelligence, how do you predict AI ethics debates will develop?",predictive,"{'entity': 'artificial intelligence', 'event': 'AI ethics debates'}",high,hard,"{'entity': 'http://dbpedia.org/resource/Artificial_intelligence', 'event': 'http://dbpedia.org/resource/Ethics_of_artificial_intelligence'}",19,"{'entity': 'Artificial_intelligence', 'event': 'Ethics_of_artificial_intelligence'}"
20,Compare and contrast the economic policies of the New Deal and the Great Society.,comparative,"{'entity A': 'New Deal', 'entity B': 'Great Society', 'aspect': 'economic policies'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/New_Deal', 'entity B': 'http://dbpedia.org/resource/Great_Society'}",20,"{'entity A': 'New_Deal', 'entity B': 'Great_Society'}"
21,How do you evaluate the impact of social media on modern political movements? Please explain your viewpoint.,critical,"{'event': 'social media', 'field': 'modern political movements'}",high,medium,"{'event': 'http://dbpedia.org/resource/Social_media', 'field': 'http://dbpedia.org/resource/Political_movements'}",21,"{'event': 'Social_media', 'field': 'Political_movements'}"
22,Why did Abraham Lincoln issue the Emancipation Proclamation in 1863?,explanatory,"{'person': 'Abraham Lincoln', 'action': 'issue the Emancipation Proclamation', 'time': '1863'}",high,medium,"{'person': 'http://dbpedia.org/resource/Abraham_Lincoln', 'action': 'http://dbpedia.org/resource/Emancipation_Proclamation', 'time': 'http://dbpedia.org/resource/1863'}",22,"{'person': 'Abraham_Lincoln', 'action': 'Emancipation_Proclamation', 'time': '1863'}"
23,"Based on SpaceX's historical behavior, in which fields do you think it might innovate in the future?",predictive,{'entity': 'SpaceX'},high,medium,{'entity': 'http://dbpedia.org/resource/SpaceX'},23,{'entity': 'SpaceX'}
24,Compare and contrast the educational philosophies of John Dewey and Maria Montessori in terms of experiential learning.,comparative,"{'entity A': 'John Dewey', 'entity B': 'Maria Montessori', 'aspect': 'experiential learning'}",high,hard,"{'entity A': 'http://dbpedia.org/resource/John_Dewey', 'entity B': 'http://dbpedia.org/resource/Maria_Montessori'}",24,"{'entity A': 'John_Dewey', 'entity B': 'Maria_Montessori'}"
25,Please describe Leonardo da Vinci's contributions to art and science.,descriptive,"{'person': 'Leonardo da Vinci', 'field': 'art and science'}",high,medium,{'person': 'http://dbpedia.org/resource/Leonardo_da_Vinci'},25,{'person': 'Leonardo_da_Vinci'}
26,Why did the Wright brothers choose Kitty Hawk for their historic flight in 1903?,explanatory,"{'person': 'Wright brothers', 'action': 'choose Kitty Hawk for their historic flight', 'time': '1903'}",high,medium,"{'person': 'http://dbpedia.org/resource/Wright_brothers', 'action': 'http://dbpedia.org/resource/Wright_Flyer'}",26,"{'person': 'Wright_brothers', 'action': 'Wright_Flyer'}"
27,"Based on Amazon's historical expansion strategy, which markets do you think it might enter in the future?",predictive,{'entity': 'Amazon'},high,medium,{'entity': 'http://dbpedia.org/resource/Amazon.com'},27,{'entity': 'Amazon.com'}
28,Compare and contrast the political impacts of the American Revolution and the French Revolution.,comparative,"{'historical event A': 'American Revolution', 'historical event B': 'French Revolution', 'aspect': 'political impacts'}",high,medium,"{'historical event A': 'http://dbpedia.org/resource/American_Revolution', 'historical event B': 'http://dbpedia.org/resource/French_Revolution'}",28,"{'historical event A': 'American_Revolution', 'historical event B': 'French_Revolution'}"
29,How do you evaluate the impact of the Industrial Revolution on modern economics? Please explain your viewpoint.,critical,"{'event': 'Industrial Revolution', 'field': 'modern economics'}",high,hard,{'event': 'http://dbpedia.org/resource/Industrial_Revolution'},29,{'event': 'Industrial_Revolution'}
30,Why did Nelson Mandela choose to end racial segregation policies in South Africa?,explanatory,"{'person': 'Nelson Mandela', 'action': 'end racial segregation policies', 'time': 'during his presidency'}",high,medium,{'person': 'http://dbpedia.org/resource/Nelson_Mandela'},30,{'person': 'Nelson_Mandela'}
31,Compare and contrast the similarities and differences between the Roman Empire and the Byzantine Empire in terms of political structure.,comparative,"{'entity A': 'Roman Empire', 'entity B': 'Byzantine Empire', 'aspect': 'political structure'}",high,hard,"{'entity A': 'http://dbpedia.org/resource/Roman_Empire', 'entity B': 'http://dbpedia.org/resource/Byzantine_Empire'}",31,"{'entity A': 'Roman_Empire', 'entity B': 'Byzantine_Empire'}"
32,How do you evaluate the impact of the Industrial Revolution on modern economies? Please explain your viewpoint.,critical,"{'person/event': 'Industrial Revolution', 'field': 'modern economies'}",high,medium,{'person/event': 'http://dbpedia.org/resource/Industrial_Revolution'},32,{'person/event': 'Industrial_Revolution'}
33,Explain the relationship between the Roman Empire and the Byzantine Empire and its significance.,explanatory,"{'entity A': 'Roman Empire', 'entity B': 'Byzantine Empire'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/Roman_Empire', 'entity B': 'http://dbpedia.org/resource/Byzantine_Empire'}",33,"{'entity A': 'Roman_Empire', 'entity B': 'Byzantine_Empire'}"
34,"Based on Amazon’s historical behavior, in which fields do you think it might innovate in the future?",predictive,{'entity': 'Amazon'},high,medium,{'entity': 'http://dbpedia.org/resource/Amazon_(company)'},34,{'entity': 'Amazon_(company)'}
35,Compare and contrast the economic policies of Ronald Reagan and Margaret Thatcher.,comparative,"{'entity A': 'Ronald Reagan', 'entity B': 'Margaret Thatcher', 'aspect': 'economic policies'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/Ronald_Reagan', 'entity B': 'http://dbpedia.org/resource/Margaret_Thatcher'}",35,"{'entity A': 'Ronald_Reagan', 'entity B': 'Margaret_Thatcher'}"
36,How do you evaluate the impact of the COVID-19 pandemic on global healthcare systems? Please explain your viewpoint.,critical,"{'event': 'COVID-19 pandemic', 'field': 'global healthcare systems'}",high,hard,{'event': 'http://dbpedia.org/resource/COVID-19_pandemic'},36,{'event': 'COVID-19_pandemic'}
37,Compare and contrast the similarities and differences between traditional books and e-books in terms of accessibility.,comparative,"{'entity A': 'traditional books', 'entity B': 'e-books', 'aspect': 'accessibility'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/Book', 'entity B': 'http://dbpedia.org/resource/E-book'}",37,"{'entity A': 'Book', 'entity B': 'E-book'}"
38,How do you evaluate the impact of social media on modern communication? Please explain your viewpoint.,critical,"{'event': 'social media', 'field': 'modern communication'}",high,medium,"{'event': 'http://dbpedia.org/resource/Social_media', 'field': 'http://dbpedia.org/resource/Communication'}",38,"{'event': 'Social_media', 'field': 'Communication'}"
39,"Based on the current economic trends, how do you predict the technology industry will evolve in the next decade?",predictive,"{'current situation': 'economic trends', 'event': 'technology industry'}",high,medium,{'event': 'http://dbpedia.org/resource/Technology_industry'},39,{'event': 'Technology_industry'}
40,Compare and contrast the similarities and differences between Shakespeare's 'Hamlet' and 'Macbeth' in terms of their main characters' motivations.,comparative,"{'entity A': ""Shakespeare's 'Hamlet'"", 'entity B': ""Shakespeare's 'Macbeth'"", 'aspect': ""main characters' motivations""}",high,medium,"{'entity A': 'http://dbpedia.org/resource/Hamlet', 'entity B': 'http://dbpedia.org/resource/Macbeth'}",40,"{'entity A': 'Hamlet', 'entity B': 'Macbeth'}"
41,How do you evaluate the impact of the Industrial Revolution on modern economic practices? Please explain your viewpoint.,critical,"{'person/event': 'Industrial Revolution', 'field': 'modern economic practices'}",high,medium,{'person/event': 'http://dbpedia.org/resource/Industrial_Revolution'},41,{'person/event': 'Industrial_Revolution'}
42,Why did Susan B. Anthony take a leading role in the women's suffrage movement during the late 19th century?,explanatory,"{'person': 'Susan B. Anthony', 'action': ""take a leading role in the women's suffrage movement"", 'time': 'late 19th century'}",high,medium,{'person': 'http://dbpedia.org/resource/Susan_B._Anthony'},42,{'person': 'Susan_B._Anthony'}
43,"Based on the historical behavior of Apple Inc., what new markets do you think it might enter in the future?",predictive,{'entity': 'Apple Inc.'},high,medium,{'entity': 'http://dbpedia.org/resource/Apple_Inc.'},43,{'entity': 'Apple_Inc.'}
44,Compare and contrast the economic policies of Ronald Reagan and Franklin D. Roosevelt.,comparative,"{'entity A': 'Ronald Reagan', 'entity B': 'Franklin D. Roosevelt'}",high,hard,"{'entity A': 'http://dbpedia.org/resource/Ronald_Reagan', 'entity B': 'http://dbpedia.org/resource/Franklin_D._Roosevelt'}",44,"{'entity A': 'Ronald_Reagan', 'entity B': 'Franklin_D._Roosevelt'}"
45,How do you evaluate the impact of the Industrial Revolution on modern economic systems? Please explain your viewpoint.,critical,"{'person/event': 'Industrial Revolution', 'field': 'modern economic systems'}",high,hard,{'person/event': 'http://dbpedia.org/resource/Industrial_Revolution'},45,{'person/event': 'Industrial_Revolution'}
46,Why did Mahatma Gandhi lead the Salt March in 1930?,explanatory,"{'person': 'Mahatma Gandhi', 'action': 'lead the Salt March', 'time': '1930'}",high,medium,"{'person': 'http://dbpedia.org/resource/Mahatma_Gandhi', 'action': 'http://dbpedia.org/resource/Salt_March', 'time': 'http://dbpedia.org/resource/1930'}",46,"{'person': 'Mahatma_Gandhi', 'action': 'Salt_March', 'time': '1930'}"
47,"Based on Disney’s historical behavior, in which areas do you think it might expand its business in the future?",predictive,{'entity': 'Disney'},high,medium,{'entity': 'http://dbpedia.org/resource/The_Walt_Disney_Company'},47,{'entity': 'The_Walt_Disney_Company'}
48,Compare and contrast the political philosophies of John Locke and Thomas Hobbes in terms of social contract theory.,comparative,"{'entity A': 'John Locke', 'entity B': 'Thomas Hobbes', 'aspect': 'social contract theory'}",high,hard,"{'entity A': 'http://dbpedia.org/resource/John_Locke', 'entity B': 'http://dbpedia.org/resource/Thomas_Hobbes', 'aspect': 'http://dbpedia.org/resource/Social_contract'}",48,"{'entity A': 'John_Locke', 'entity B': 'Thomas_Hobbes', 'aspect': 'Social_contract'}"
49,How do you evaluate the impact of the Internet on the global communication landscape? Please explain your viewpoint.,critical,"{'person/event': 'the Internet', 'field': 'global communication landscape'}",high,medium,{'person/event': 'http://dbpedia.org/resource/Internet'},49,{'person/event': 'Internet'}
50,Explain the relationship between Nikola Tesla and Thomas Edison and its significance.,explanatory,"{'entity A': 'Nikola Tesla', 'entity B': 'Thomas Edison'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/Nikola_Tesla', 'entity B': 'http://dbpedia.org/resource/Thomas_Edison'}",50,"{'entity A': 'Nikola_Tesla', 'entity B': 'Thomas_Edison'}"
51,"Based on the current situation, how do you predict the development of renewable energy technologies?",predictive,{'event': 'development of renewable energy technologies'},high,medium,{'event': 'http://dbpedia.org/resource/Renewable_energy'},51,{'event': 'Renewable_energy'}
52,Compare and contrast the similarities and differences between the New Deal and the Great Society in terms of social programs.,comparative,"{'entity A': 'New Deal', 'entity B': 'Great Society', 'aspect': 'social programs'}",high,hard,"{'entity A': 'http://dbpedia.org/resource/New_Deal', 'entity B': 'http://dbpedia.org/resource/Great_Society'}",52,"{'entity A': 'New_Deal', 'entity B': 'Great_Society'}"
53,How do you evaluate the impact of the internet on modern education? Please explain your viewpoint.,critical,"{'event': 'the internet', 'field': 'modern education'}",high,medium,"{'event': 'http://dbpedia.org/resource/Internet', 'field': 'http://dbpedia.org/resource/Education'}",53,"{'event': 'Internet', 'field': 'Education'}"
54,Describe Isaac Newton's significant contributions during his career.,descriptive,{'person': 'Isaac Newton'},high,medium,{'person': 'http://dbpedia.org/resource/Isaac_Newton'},54,{'person': 'Isaac_Newton'}
55,Why did Julius Caesar choose to cross the Rubicon in 49 BC?,explanatory,"{'person': 'Julius Caesar', 'action': 'cross the Rubicon', 'time': '49 BC'}",high,medium,"{'person': 'http://dbpedia.org/resource/Julius_Caesar', 'action': 'http://dbpedia.org/resource/Crossing_the_Rubicon', 'time': 'http://dbpedia.org/resource/49_BC'}",55,"{'person': 'Julius_Caesar', 'action': 'Crossing_the_Rubicon', 'time': '49_BC'}"
56,"Based on current technological advancements, how do you predict the future of artificial intelligence will unfold?",predictive,{'entity': 'artificial intelligence'},high,hard,{'entity': 'http://dbpedia.org/resource/Artificial_intelligence'},56,{'entity': 'Artificial_intelligence'}
57,Compare and contrast the economic policies of Ronald Reagan and Franklin D. Roosevelt.,comparative,"{'entity A': 'Ronald Reagan', 'entity B': 'Franklin D. Roosevelt', 'aspect': 'economic policies'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/Ronald_Reagan', 'entity B': 'http://dbpedia.org/resource/Franklin_D._Roosevelt'}",57,"{'entity A': 'Ronald_Reagan', 'entity B': 'Franklin_D._Roosevelt'}"
58,How do you evaluate the impact of the Industrial Revolution on modern urbanization? Please explain your viewpoint.,critical,"{'person/event': 'Industrial Revolution', 'field': 'modern urbanization'}",high,hard,"{'person/event': 'http://dbpedia.org/resource/Industrial_Revolution', 'field': 'http://dbpedia.org/resource/Urbanization'}",58,"{'person/event': 'Industrial_Revolution', 'field': 'Urbanization'}"
59,Explain the relationship between the United Nations and the World Health Organization and its significance.,explanatory,"{'entity A': 'United Nations', 'entity B': 'World Health Organization'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/United_Nations', 'entity B': 'http://dbpedia.org/resource/World_Health_Organization'}",59,"{'entity A': 'United_Nations', 'entity B': 'World_Health_Organization'}"
60,Compare and contrast the economic impact of the Great Depression and the 2008 financial crisis.,comparative,"{'historical event A': 'Great Depression', 'historical event B': '2008 financial crisis', 'aspect': 'economic impact'}",high,medium,"{'historical event A': 'http://dbpedia.org/resource/Great_Depression', 'historical event B': 'http://dbpedia.org/resource/Financial_crisis_of_2007–2008'}",60,"{'historical event A': 'Great_Depression', 'historical event B': 'Financial_crisis_of_2007–2008'}"
61,How do you evaluate the impact of the Industrial Revolution on modern technological advancements? Please explain your viewpoint.,critical,"{'person/event': 'Industrial Revolution', 'field': 'modern technological advancements'}",high,medium,"{'person/event': 'http://dbpedia.org/resource/Industrial_Revolution', 'field': 'http://dbpedia.org/resource/Technology'}",61,"{'person/event': 'Industrial_Revolution', 'field': 'Technology'}"
62,Please describe Nikola Tesla’s contributions to the field of electrical engineering.,descriptive,{'person': 'Nikola Tesla'},high,medium,{'person': 'http://dbpedia.org/resource/Nikola_Tesla'},62,{'person': 'Nikola_Tesla'}
63,Why did Mahatma Gandhi choose to initiate the Salt March in 1930?,explanatory,"{'person': 'Mahatma Gandhi', 'action': 'initiate the Salt March', 'time': '1930'}",high,hard,"{'person': 'http://dbpedia.org/resource/Mahatma_Gandhi', 'action': 'http://dbpedia.org/resource/Salt_March'}",63,"{'person': 'Mahatma_Gandhi', 'action': 'Salt_March'}"
64,"Based on the rapid advancements in artificial intelligence, how do you predict the job market will change in the next decade?",predictive,"{'entity': 'artificial intelligence', 'event': 'job market'}",high,hard,"{'entity': 'http://dbpedia.org/resource/Artificial_intelligence', 'event': 'http://dbpedia.org/resource/Employment'}",64,"{'entity': 'Artificial_intelligence', 'event': 'Employment'}"
65,Compare and contrast the environmental impacts of wind energy and solar energy.,comparative,"{'entity A': 'wind energy', 'entity B': 'solar energy', 'aspect': 'environmental impacts'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/Wind_energy', 'entity B': 'http://dbpedia.org/resource/Solar_energy'}",65,"{'entity A': 'Wind_energy', 'entity B': 'Solar_energy'}"
66,How do you evaluate the impact of social media on contemporary communication? Please explain your viewpoint.,critical,"{'person/event': 'social media', 'field': 'contemporary communication'}",high,medium,"{'person/event': 'http://dbpedia.org/resource/Social_media', 'field': 'http://dbpedia.org/resource/Communication'}",66,"{'person/event': 'Social_media', 'field': 'Communication'}"
67,Why did Mahatma Gandhi choose to start the Salt March in 1930?,explanatory,"{'person': 'Mahatma Gandhi', 'action': 'start the Salt March', 'time': '1930'}",high,medium,"{'person': 'http://dbpedia.org/resource/Mahatma_Gandhi', 'action': 'http://dbpedia.org/resource/Salt_March', 'time': 'http://dbpedia.org/resource/1930'}",67,"{'person': 'Mahatma_Gandhi', 'action': 'Salt_March', 'time': '1930'}"
68,"Based on the historical behavior of NASA, what do you think it might do in the field of space exploration in the future?",predictive,{'entity': 'NASA'},high,medium,{'entity': 'http://dbpedia.org/resource/NASA'},68,{'entity': 'NASA'}
69,Compare the impact of the Industrial Revolution and the Information Age on global economic structures.,comparative,"{'historical event A': 'Industrial Revolution', 'historical event B': 'Information Age'}",high,hard,"{'historical event A': 'http://dbpedia.org/resource/Industrial_Revolution', 'historical event B': 'http://dbpedia.org/resource/Information_Age'}",69,"{'historical event A': 'Industrial_Revolution', 'historical event B': 'Information_Age'}"
70,How do you evaluate the impact of the theory of relativity on modern physics? Please explain your viewpoint.,critical,"{'person/event': 'the theory of relativity', 'field': 'modern physics'}",high,hard,"{'person/event': 'http://dbpedia.org/resource/Theory_of_relativity', 'field': 'http://dbpedia.org/resource/Physics'}",70,"{'person/event': 'Theory_of_relativity', 'field': 'Physics'}"
71,Explain the relationship between the American Civil War and the abolition of slavery and its significance.,explanatory,"{'entity A': 'American Civil War', 'entity B': 'abolition of slavery'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/American_Civil_War', 'entity B': 'http://dbpedia.org/resource/Abolition_of_slavery'}",71,"{'entity A': 'American_Civil_War', 'entity B': 'Abolition_of_slavery'}"
72,"Based on the current technological advancements, how do you predict artificial intelligence will impact the job market?",predictive,{'event': 'impact of artificial intelligence on the job market'},high,medium,{'event': 'http://dbpedia.org/resource/Artificial_intelligence'},72,{'event': 'Artificial_intelligence'}
73,Compare and contrast the similarities and differences between Linux and Windows operating systems in terms of security features.,comparative,"{'entity A': 'Linux', 'entity B': 'Windows', 'aspect': 'security features'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/Linux', 'entity B': 'http://dbpedia.org/resource/Microsoft_Windows'}",73,"{'entity A': 'Linux', 'entity B': 'Microsoft_Windows'}"
74,How do you evaluate the impact of the Internet on the education system? Please explain your viewpoint.,critical,"{'person/event': 'the Internet', 'field': 'education system'}",high,medium,"{'person/event': 'http://dbpedia.org/resource/Internet', 'field': 'http://dbpedia.org/resource/Education'}",74,"{'person/event': 'Internet', 'field': 'Education'}"
75,Why did Nelson Mandela choose to pursue a path of reconciliation after his release from prison?,explanatory,"{'person': 'Nelson Mandela', 'action': 'pursue a path of reconciliation', 'time': 'after his release from prison'}",high,medium,{'person': 'http://dbpedia.org/resource/Nelson_Mandela'},75,{'person': 'Nelson_Mandela'}
76,"Based on the current technological trends, how do you predict the development of artificial intelligence will impact job markets?",predictive,{'event': 'the development of artificial intelligence'},high,medium,{'event': 'http://dbpedia.org/resource/Artificial_intelligence'},76,{'event': 'Artificial_intelligence'}
77,Compare and contrast the economic policies of Franklin D. Roosevelt and Ronald Reagan.,comparative,"{'entity A': 'Franklin D. Roosevelt', 'entity B': 'Ronald Reagan', 'aspect': 'economic policies'}",high,medium,"{'entity A': 'http://dbpedia.org/resource/Franklin_D._Roosevelt', 'entity B': 'http://dbpedia.org/resource/Ronald_Reagan'}",77,"{'entity A': 'Franklin_D._Roosevelt', 'entity B': 'Ronald_Reagan'}"
78,How do you evaluate the impact of the Industrial Revolution on modern manufacturing processes? Please explain your viewpoint.,critical,"{'event': 'the Industrial Revolution', 'field': 'modern manufacturing processes'}",high,medium,{'event': 'http://dbpedia.org/resource/Industrial_Revolution'},78,{'event': 'Industrial_Revolution'}
79,Why did the United States decide to enter World War II in 1941?,explanatory,"{'entity': 'United States', 'event': 'World War II', 'time': '1941'}",high,medium,"{'entity': 'http://dbpedia.org/resource/United_States', 'event': 'http://dbpedia.org/resource/World_War_II'}",79,"{'entity': 'United_States', 'event': 'World_War_II'}"
80,"Based on the current technological advancements, how do you predict artificial intelligence will develop in the next decade?",predictive,"{'event': 'technological advancements', 'time': 'next decade'}",high,medium,"{'event': 'http://dbpedia.org/resource/Artificial_intelligence', 'time': 'http://dbpedia.org/resource/Decade'}",80,"{'event': 'Artificial_intelligence', 'time': 'Decade'}"
81,Compare the impact of the Renaissance and the Enlightenment on modern Western thought.,comparative,"{'event A': 'Renaissance', 'event B': 'Enlightenment', 'aspect': 'modern Western thought'}",high,medium,"{'event A': 'http://dbpedia.org/resource/Renaissance', 'event B': 'http://dbpedia.org/resource/Age_of_Enlightenment'}",81,"{'event A': 'Renaissance', 'event B': 'Age_of_Enlightenment'}"
82,How do you evaluate the impact of digital media on traditional journalism? Please explain your viewpoint.,critical,"{'entity': 'digital media', 'field': 'traditional journalism'}",high,medium,"{'entity': 'http://dbpedia.org/resource/Digital_media', 'field': 'http://dbpedia.org/resource/Journalism'}",82,"{'entity': 'Digital_media', 'field': 'Journalism'}"
83,Why did the U.S. government decide to implement the New Deal in the 1930s?,explanatory,"{'person': 'U.S. government', 'action': 'implement the New Deal', 'time': 'the 1930s'}",high,medium,"{'person': 'http://dbpedia.org/resource/U.S._federal_government', 'action': 'http://dbpedia.org/resource/New_Deal'}",83,"{'person': 'U.S._federal_government', 'action': 'New_Deal'}"
84,"Based on the current advancements in technology, how do you predict the rise of Artificial Intelligence will affect job markets?",predictive,"{'entity': 'technology', 'event': 'rise of Artificial Intelligence'}",high,hard,"{'entity': 'http://dbpedia.org/resource/Technology', 'event': 'http://dbpedia.org/resource/Artificial_intelligence'}",84,"{'entity': 'Technology', 'event': 'Artificial_intelligence'}"
85,How do you evaluate the impact of social media on modern political campaigns? Please explain your viewpoint.,critical,"{'person/event': 'social media', 'field': 'modern political campaigns'}",high,medium,"{'person/event': 'http://dbpedia.org/resource/Social_media', 'field': 'http://dbpedia.org/resource/Election_campaign'}",85,"{'person/event': 'Social_media', 'field': 'Election_campaign'}"
86,Why did Queen Elizabeth I choose to never marry during her reign?,explanatory,"{'person': 'Queen Elizabeth I', 'action': 'never marry', 'time': 'her reign'}",high,medium,{'person': 'http://dbpedia.org/resource/Elizabeth_I_of_England'},86,{'person': 'Elizabeth_I_of_England'}
